iter	Logloss
0	0.6265727821
1	0.5515083646
2	0.5086039756
3	0.4607713105
4	0.4416380791
5	0.4172686841
6	0.3911409381
7	0.3690979784
8	0.3501802913
9	0.3346681324
10	0.3216439803
11	0.3102855437
12	0.2976007207
13	0.2904415576
14	0.2766544045
15	0.269256293
16	0.2636603811
17	0.2578509056
18	0.2493254831
19	0.2442884533
20	0.23828918
21	0.2321910098
22	0.2234264119
23	0.21884938
24	0.212760746
25	0.2074473442
26	0.2016513635
27	0.1979126172
28	0.1952307205
29	0.1923880427
30	0.1881646243
31	0.1852419149
32	0.1817797674
33	0.1789850521
34	0.1743263875
35	0.1707729128
36	0.1669237541
37	0.1643287985
38	0.1592184591
39	0.1567626543
40	0.1546539323
41	0.1529042576
42	0.1497091478
43	0.1473615549
44	0.1463127344
45	0.1421872013
46	0.1385418796
47	0.1360049139
48	0.1339087723
49	0.1314900603
50	0.1300950585
51	0.1277003772
52	0.1245457526
53	0.1228718217
54	0.1202241003
55	0.1177203431
56	0.1154646754
57	0.1137605419
58	0.1122107263
59	0.1107339654
60	0.1087084255
61	0.1077989851
62	0.1064011197
63	0.1038784619
64	0.1027436372
65	0.1009021911
66	0.0996648648
67	0.09892408523
68	0.09801736494
69	0.09721499188
70	0.09627663544
71	0.09515702065
72	0.09333885075
73	0.09225465531
74	0.09115190095
75	0.09006177172
76	0.08919066957
77	0.08804153323
78	0.08695070341
79	0.08583061046
80	0.08478438303
81	0.08408339504
82	0.08338630953
83	0.08267489336
84	0.08192709971
85	0.08118202489
86	0.08045638346
87	0.07934486418
88	0.07805824793
89	0.07758877475
90	0.07662083295
91	0.07575317659
92	0.07471159448
93	0.07388629131
94	0.07325882295
95	0.07294338892
96	0.07233683527
97	0.07107835677
98	0.07000946237
99	0.0691658805
100	0.06816937491
101	0.06709085606
102	0.06644261913
103	0.06601814969
104	0.06534767964
105	0.06472917375
106	0.06427551553
107	0.06383287668
108	0.06345229039
109	0.06285494021
110	0.062152758
111	0.06153260575
112	0.06112230564
113	0.06021269981
114	0.05943060006
115	0.05884816064
116	0.05783992143
117	0.05712215672
118	0.05654077063
119	0.05617767017
120	0.05576456763
121	0.05521178639
122	0.05489053814
123	0.05438087936
124	0.05395162985
125	0.05321747447
126	0.05294914203
127	0.05255840886
128	0.05200550689
129	0.05145807971
130	0.0511929713
131	0.05052892969
132	0.05026537878
133	0.04987397977
134	0.04954265683
135	0.04895162698
136	0.04848383616
137	0.04800842888
138	0.04780167913
139	0.04731292705
140	0.04704135581
141	0.04653113576
142	0.04619415585
143	0.04595470912
144	0.04573961062
145	0.04547760036
146	0.04510666509
147	0.04487243273
148	0.0445711885
149	0.04431959056
150	0.04383052202
151	0.0434987633
152	0.04333847116
153	0.04309468193
154	0.04277790508
155	0.04237731011
156	0.04208326
157	0.04193603258
158	0.0415792974
159	0.0413948798
160	0.04121951073
161	0.04109818258
162	0.04078418836
163	0.04051798994
164	0.04027073872
165	0.03987467068
166	0.03964095546
167	0.03933253689
168	0.03902608338
169	0.03868953225
170	0.03851401864
171	0.03812548961
172	0.03803701394
173	0.03777916621
174	0.03745969092
175	0.03715312837
176	0.03690700929
177	0.0367973232
178	0.03667708762
179	0.03647566823
180	0.03628963019
181	0.03615841094
182	0.03593095913
183	0.03569161329
184	0.0353587877
185	0.03531641399
186	0.03518278863
187	0.03507008285
188	0.03484118444
189	0.03472017103
190	0.03441400296
191	0.03429518697
192	0.03415375579
193	0.0339818346
194	0.03357859478
195	0.03340297363
196	0.03335213413
197	0.033058676
198	0.03296568479
199	0.03275514392
