,best_param,CV_mean,CV_std,test_score,F1_score,Precision,Recall
xgb,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 100}",0.9847980041453868,0.010503411605352824,0.9893943266036289,0.9893711064256188,0.9893524494754818,0.9893943266036289
lightb,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}",0.9862412157707008,0.00854241423709257,0.9896498849987222,0.9895944186013528,0.9895662339313648,0.9896498849987222
